Data,Lancamento,Detalhe,Local,Valor ,TipoDeLancamento
11/10/2023,filho,3x3,amazon,R$ 52,crédito
13/10/2023,filho,3x3,drogasil,R$ 64,crédito
28/10/2023,filho,2x2,drogasil,R$ 55,crédito
30/10/2023,filho,2x2,pague menos,R$ 44,crédito
31/10/2023,despesa pessoal,2x4,santa bárbara,R$ 198,crédito
01/11/2023,Compra com Cartão,,119959,-R$ 10,saída 
02/11/2023,despesa pessoal,2x2,águas de aruada,R$ 92,crédito
03/11/2023,Pix - Enviado,,110301,-R$ 20,saída 
03/11/2023,Pix - Enviado,,110302,-R$ 10,saída 
03/11/2023,Pix - Enviado,,110303,-R$ 10,saída 
03/11/2023,Pix - Enviado,,110304,-R$ 5,saída 
03/11/2023,Pix - Enviado,,110305,-R$ 7,saída 
03/11/2023,Pix - Enviado,,110306,-R$ 5,saída 
06/11/2023,Transferência recebida,,603546000125662,R$ 400,entrada
06/11/2023,Pix - Enviado,,110601,-R$ 100,saída 
06/11/2023,Pix - Enviado,,110602,-R$ 14,saída 
06/11/2023,Pix - Enviado,,110603,-R$ 10,saída 
07/11/2023,Pix - Enviado,,110701,-R$ 9,saída 
07/11/2023,Pix - Enviado,,110702,-R$ 50,saída 
09/11/2023,saúde,2x4,pio decimo,R$ 308,crédito
09/11/2023,saúde,2x2,pio décimo,R$ 170,crédito
09/11/2023,saúde,2x2,drogasil,R$ 52,crédito
09/11/2023,Compra com Cartão,,128221,-R$ 10,saída 
09/11/2023,Pix - Enviado,,110901,-R$ 581,saída 
09/11/2023,Pagamento Fatura de Água,,46819,-R$ 20,saída 
10/11/2023,Compra com Cartão,,145006,-R$ 30,saída 
10/11/2023,Compra com Cartão,,253891,-R$ 1,saída 
11/11/2023,saúde,2x2,univet,R$ 52,crédito
12/11/2023,saúde,2x3,petz,R$ 77,crédito
13/11/2023,Compra com Cartão,,159738,-R$ 2,saída 
13/11/2023,Compra com Cartão,,265431,-R$ 1,saída 
13/11/2023,Pix - Enviado,,111301,-R$ 100,saída 
14/11/2023,Transferência recebida,,603545400015303,R$ 4.473,entrada
14/11/2023,Compra com Cartão,,142784,-R$ 2,saída 
14/11/2023,Pagto cartão crédito,,450354500030000,-R$ 4.215,saída 
14/11/2023,Pix - Enviado,,111401,-R$ 205,saída 
16/11/2023,saúde,2x4,pat lab,R$ 266,crédito
17/11/2023,saúde,,171222,-R$ 7,saída 
17/11/2023,Pix - Enviado,,111701,-R$ 14,saída 
20/11/2023,Depósito Online TAA,,833072892152003,R$ 1.020,entrada
20/11/2023,Pix - Recebido,,4656138522,R$ 192,entrada
20/11/2023,Pix - Enviado,,112001,-R$ 1.320,saída 
21/11/2023,Pix - Recebido,,4666296311,R$ 1.000,entrada
24/11/2023,Pix - Enviado,,112401,-R$ 350,saída 
29/11/2023,Compra com Cartão,,148691,-R$ 12,saída 
29/11/2023,Compra com Cartão,,248750,-R$ 10,saída 
30/11/2023,Compra com Cartão,,163268,-R$ 17,saída 
30/11/2023,Pix - Enviado,,113001,-R$ 15,saída 
01/12/2023,despesa pessoal,bb,iof dia,"R$ 0,35",crédito
01/12/2023,despesa pessoal,bb,iof adic,"R$ 16,02",crédito
01/12/2023,moradia,bb,amazon,"R$ 207,69",crédito
01/12/2023,filho,1x2,drogasil,R$ 53,crédito
01/12/2023,Pix - Enviado,,120101,-R$ 20,saída 
02/12/2023,alimentação ,bb,mercato sol nascente,"R$ 25,00",crédito
02/12/2023,alimentação ,bb,pandad,"R$ 22,40",crédito
04/12/2023,alimentação ,bb,açaí,"R$ 233,66",crédito
04/12/2023,Pix - Enviado,,120401,-R$ 15,saída 
05/12/2023,carro,bb,jardim europa,"R$ 100,00",crédito
05/12/2023,Pix - Enviado,,120501,-R$ 656,saída 
06/12/2023,Transferência recebida,,223545400015303,R$ 500,entrada
06/12/2023,Saque no TAA,,61351279404293,-R$ 330,saída 
07/12/2023,alimentação ,bb,iht alimentos,"R$ 67,98",crédito
07/12/2023,filho,bb,pague menos,"R$ 36,35",crédito
08/12/2023,filho,bb,pague menos,"R$ 33,98",crédito
08/12/2023,filho,bb,amazon,"R$ 33,65",crédito
08/12/2023,filho,bb,amazon,"R$ 33,65",crédito
08/12/2023,carro,bb,eko,"R$ 137,12",crédito
08/12/2023,filho,1x2,pague menos,R$ 43,crédito
08/12/2023,Compra com Cartão,,142699,-R$ 13,saída 
11/12/2023,alimentação ,bb,assaí,"R$ 180,45",crédito
11/12/2023,moto-boy,bb,pop 99,"R$ 5,25",crédito
11/12/2023,Transferência recebida,,603545400015303,R$ 5.524,entrada
11/12/2023,Compra com Cartão,,139447,-R$ 11,saída 
11/12/2023,Compra com Cartão,,233576,-R$ 46,saída 
11/12/2023,Compra com Cartão,,362556,-R$ 17,saída 
11/12/2023,Pix - Enviado,,121101,-R$ 190,saída 
11/12/2023,Pix - Enviado,,121102,-R$ 380,saída 
11/12/2023,Pagamento Fatura de Água,,46819,-R$ 64,saída 
12/12/2023,alimentação ,bb,pague menos,"R$ 116,98",crédito
13/12/2023,despesa pessoal,bb,inappaymentcaptusao,"R$ 5,50",crédito
13/12/2023,despesa pessoal,bb,amazon,"R$ 25,91",crédito
13/12/2023,Pix - Recebido,,4841456045,R$ 600,entrada
13/12/2023,Pagto cartão crédito,,450354500020000,-R$ 5.329,saída 
15/12/2023,carro,bb,petrox,"R$ 152,79",crédito
15/12/2023,filho,bb,drogasil,"R$ 13,50",crédito
15/12/2023,transporte ,bb,pop 99,"R$ 3,00",crédito
15/12/2023,Depósito Online TAA,,833072892102232,R$ 2.258,entrada
15/12/2023,Pagamento de Boleto,,121501,-R$ 2.600,saída 
17/12/2023,alimentação ,bb,jonal batista,"R$ 14,50",crédito
18/12/2023,despesa pessoal,bb,cartão,"R$ 104,92",crédito
18/12/2023,alimentação ,bb,petrox,"R$ 11,97",crédito
18/12/2023,alimentação ,bb,assaí,"R$ 246,78",crédito
18/12/2023,alimentação ,bb,pizzaria da hora,"R$ 21,00",crédito
18/12/2023,transporte ,bb,99 pay,"R$ 20,79",crédito
19/12/2023,saúde,bb,drogasil,"R$ 74,06",crédito
19/12/2023,Transferência recebida,,603546000125662,R$ 1.200,entrada
20/12/2023,filho,bb,net outlet,"R$ 47,20",crédito
20/12/2023,filho,bb,cresci e perdi,"R$ 46,00",crédito
20/12/2023,filho,bb,inappaymentcaptusao,"R$ 6,30",crédito
20/12/2023,filho,bb,mini luxo,"R$ 99,90",crédito
20/12/2023,filho,1x2,gravel kids,R$ 35,crédito
20/12/2023,Pix - Enviado,,122001,-R$ 20,saída 
21/12/2023,Compra com Cartão,,183821,-R$ 25,saída 
22/12/2023,alimentação ,bb,mercantil,"R$ 41,97",crédito
22/12/2023,carro,bb,riomar,"R$ 8,00",crédito
22/12/2023,carro,bb,eco,"R$ 100,00",crédito
22/12/2023,despesa pessoal,bb,le biscuit,"R$ 83,69",crédito
22/12/2023,despesa pessoal,bb,lebiscuit,"R$ 229,80",crédito
22/12/2023,Pagamento de Boleto,,122201,-R$ 232,saída 
24/12/2023,carro,bb,eco,"R$ 100,00",crédito
26/12/2023,Pix - Enviado,,122601,-R$ 20,saída 
27/12/2023,alimentação ,queijos ,,R$ 19,crédito
27/12/2023,carro,petrox,,R$ 100,crédito
27/12/2023,filho,farmacia,,R$ 27,crédito
27/12/2023,alimentação ,açai,,R$ 203,crédito
28/12/2023,Pix - Enviado,,122801,-R$ 410,saída 
29/12/2023,filho,drograsil,,R$ 63,crédito
31/12/2023,despesa pessoal,jobim,,R$ 158,crédito
31/12/2023,alimentação ,emporio,,R$ 18,crédito
31/12/2023,carro,ryo,,R$ 100,crédito
